col1 = Filename
col2 = Percent correct ID
col3 = Number (out of 20) heard as iy
col4 = Number (out of 20) heard as ih
col5 = Number (out of 20) heard as ei
col6 = Number (out of 20) heard as eh
col7 = Number (out of 20) heard as ae
col8 = Number (out of 20) heard as ah
col9 = Number (out of 20) heard as aw
col10= Number (out of 20) heard as oa
col11= Number (out of 20) heard as oo
col12= Number (out of 20) heard as uw
col13= Number (out of 20) heard as uh
col14= Number (out of 20) heard as er
col15= Signal heard predominately as this vowel

Note: An asterisk to the far right means that the majority vote was
      for a vowel other than that intended by the talker.

Filename    %ID   iy  ih  ei  eh  ae  ah  aw  oa  oo  uw  uh  er Vote
m25er.w     95.0   0   1   0   0   0   0   0   0   0   0   0  19  er
m25ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m25iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m25oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m25oo.w     90.0   0   0   0   0   0   0   0   0  18   0   2   0  oo
m25uh.w     80.0   0   0   0   0   0   3   0   0   0   0  16   1  uh
m25uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m26ae.w     95.0   0   0   0   1  19   0   0   0   0   0   0   0  ae
m26ah.w     95.0   0   0   0   0   1  19   0   0   0   0   0   0  ah
m26aw.w     80.0   0   0   0   0   0   4  16   0   0   0   0   0  aw
m26eh.w     95.0   0   0   0  19   1   0   0   0   0   0   0   0  eh
m26ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m26er.w    100.0   0   0   0   0   0   0   0   0   0   0   0  20  er
m26ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m26iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m26oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m26oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m26uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m26uw.w     95.0   0   0   0   0   0   0   0   0   1  19   0   0  uw
m27ae.w    100.0   0   0   0   0  20   0   0   0   0   0   0   0  ae
m27ah.w    100.0   0   0   0   0   0  20   0   0   0   0   0   0  ah
m27aw.w     90.0   0   0   0   0   0   2  18   0   0   0   0   0  aw
m27eh.w     85.0   0   0   0  17   2   0   1   0   0   0   0   0  eh
m27ei.w    100.0   0   0  20   0   0   0   0   0   0   0   0   0  ei
m27er.w     95.0   0   0   0   0   1   0   0   0   0   0   0  19  er
m27ih.w    100.0   0  20   0   0   0   0   0   0   0   0   0   0  ih
m27iy.w    100.0  20   0   0   0   0   0   0   0   0   0   0   0  iy
m27oa.w    100.0   0   0   0   0   0   0   0  20   0   0   0   0  oa
m27oo.w    100.0   0   0   0   0   0   0   0   0  20   0   0   0  oo
m27uh.w    100.0   0   0   0   0   0   0   0   0   0   0  20   0  uh
m27uw.w    100.0   0   0   0   0   0   0   0   0   0  20   0   0  uw
m28ae.w     60.0   0   0   0   8  12   0   0   0   0   0   0   0  ae
